controlNumber,prefLabel,scopeNote
143342,Adjektiv,"- syntax F.013, - formlära F.012, - semantik F.023. Se även resp språk med tillägg .013; .012 och .023."
143343,Adjektivattribut,Se även resp språk med tillägg .013.
138870,ADL,
138871,Administration,se även resp ämne.
138873,Administrativ rationalisering,
138874,Adolescensen,
138875,Adoniskulten,
250176,Adopterade,Hit verk om vuxna personer som adopterats som barn. Verk som behandlar adopterade barn får ämnesordet Adoptivbarn.
167765,Adoptianismen,
138876,Adoption,
n6hnhfxsl202gn75,Adoption--religiösa aspekter,
138877,Adoptivbarn,Hit verk om adopterade barn. Verk om vuxna adopterade får ämnesordet Adopterade.
138878,Adoptivbarn--juridik och lagstiftning,
281519,Adoptivföräldrar,
138879,Adrenalin,
261647,Adrenogenitalt syndrom,
138881,Adresskalendrar,Även genre/formterm.
138883,Adriatiska havet,
143344,Adsorption,
138887,Aducering,
138888,Advent,se även resp samfund med tillägg .03
138889,Adventister,
138890,Adventskalendrar,kristendom Chd; folktro och folkseder Mzaj
242777,Adventsmusik,
138891,Adventsseder,
143345,Adverb,"- syntax F.013, - formlära F.012, - semantik F.023. Se även resp språk med tillägg .013; .012 och .023."
143346,Adverbial,Se även resp språk med tillägg .013.
138892,Advokatbyråer,"Särsk Oekd:bf (folkbibl), Oekd-c:bf (forskbibl)."
166369,Advokater,Särsk Lz.
138688,Advokater i filmen,
138895,Advokatväsen,
138896,Adygeiska republiken,
286346,Adygeiska språket,
138897,Aeroba bakterier,
395787,Aerobatics,
138899,Aerobics,
138900,Aerobiologi,
138901,Aerodynamik,
138903,Aerologi,
270032,Aerosoler,
138905,Aerosolteknik,
138907,Afar (språk),
138908,Afasi,
165262,Affekter,
269148,Affektiva störningar,
143347,Affektlära,
138909,Affenpinscher,
138910,Affin geometri,
271571,Affinitetskromatografi,
245043,Affirmationer,
143348,Affischer,"Även genre/formterm. | - grafisk konst Ifq, - reklamkonst Ihq, - reklamens utformning Qbmm."
138912,Affix,Se även resp språk med tillägg .022.
138913,Affärsbanker,"särsk Qz (folkbibl), Qaeb-cz - Qaeb-sz (forskbibl)  Qaeb-cz -- Qaeb-sz (forskbibl)"
138914,Affärsbokföring,
143349,Affärsbyggnader,
143350,Affärsförhandlingar,
161086,Affärsidéer,
138917,Affärsjuridik,
363051,Affärskommunikation,Hit verk om olika former av muntlig eller skriftlig kommunikation som används inom affärslivet. Verk om betydelsen av kommunikation i effektivt ledarskap får ämnesordet Kommunikation inom ledning.
147563,Affärskorrespondens,
291589,Affärskvinnor,Särsk Lz.
138918,Affärslexikon,
138919,Affärsmoral,
143351,Affärsmän,Särsk Lz.
286217,Affärsmän i filmen,
346426,Affärsmän i litteraturen,
161087,Affärsresor,
138922,Affärssed,
138923,Affärsspråk,
324906,Affärssystem,
138924,Affärstider,"- handel Qi, - arbetstid Ohad"
166836,Affärsverk,särsk affärsverk se resp verksamhetsområde med tillägg :bf
391485,Affärsvärlden,Används endast för skönlitteratur.
245046,Affärsänglar,"- investering Qbccc, - finansiering Qbcd."
330766,Afghaner,Hit verk om afghaner utanför Afghanistan. Används endast tillsammans med geografiskt ämnesord. För verk om afghaner i Afghanistan används t.ex. Nationalkaraktär; Folkseder; Samhällsliv; Traditioner; Sociala förhållanden i kombination med Afghanistan.
138925,Afghanhund,
138931,Afghanistan,För verk om landets historia läggs geografiskt ämnesord och det allmänna ämnesordet Historia. | Särsk orter Noalz.
149714,Afghanistan--Kabul,
171884,Afghanistankriget 1979-1989,
304451,Afghanistankriget 1979-1989 i massmedia,
372853,Afghansk konst,
370915,Afghansk matlagning,
2d8b0wkt0lj1788c,Afghanska författare,
372544,Afghanskt muralmåleri,
138935,Aforismer,"se även resp litteraturhistoria, t ex svensk Gc. För genren i sig se H.018 och resp skönlitteratur med tillägg .018, t ex svensk Hc.018"
138937,Africa Proconsularis,
138939,Afrika,För verk om kontinentens historia läggs geografiskt ämnesord och det allmänna ämnesordet Historia.
138943,Afrika söder om Sahara,
138962,Afrika--Afrikas horn,
166371,Afrika--Albertsjön,"- Kongo (Kinshasa) Npdaaz, - Uganda Npfaz."
144612,Afrika--Beninriket,
166394,Afrika--Blå Nilen,"- Etiopien Npgaz, - Sudan Npbbz."
147274,Afrika--Guldkusten,
150332,Afrika--Kivusjön,
155387,Afrika--Nubien,
158357,Afrika--Ruanda-Urundi,
164547,Afrika--Sahelområdet,
158783,Afrika--Tanganyikasjön,För verk om Tanganyikasjön i ett särskilt land används SAB-kod för resp land.
158865,Afrika--Tchadsjön,
162380,Afrika--Victoriafallen,
143635,Afrikaaner,
138944,Afrikaans,
